LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0602EAT0163,Eaton Brook Reservoir,07/20/1993,OW,NA,NA,1.37,NA,NA,NA,8.17,0.005,163,24,2
0602EAT0163,Eaton Brook Reservoir,07/20/1993,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/20/2015,OW,0.032,20,1.3,NA,0.301,NA,7.21,0.007,162.7,25,6
0602EAT0163,Eaton Brook Reservoir,07/20/2015,BS,0.098,NA,NA,NA,NA,NA,NA,0.0095,NA,18,NA
0602EAT0163,Eaton Brook Reservoir,07/21/1997,OW,NA,NA,3.67,NA,NA,NA,8,0.007,168,20,5
0602EAT0163,Eaton Brook Reservoir,07/21/1997,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/22/1991,OW,NA,NA,5.26,NA,NA,NA,8.33,0.009,176,26,4
0602EAT0163,Eaton Brook Reservoir,07/22/1991,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/24/1988,OW,NA,NA,1.7,NA,NA,NA,8.11,0.007,166,NA,9
0602EAT0163,Eaton Brook Reservoir,07/24/1988,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/24/2000,OW,NA,NA,2.89,NA,NA,NA,7.95,0.014,162,20,4
0602EAT0163,Eaton Brook Reservoir,07/24/2000,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/25/1994,OW,NA,NA,2.5,NA,NA,NA,8.23,0.005,147,24,2
0602EAT0163,Eaton Brook Reservoir,07/25/1994,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/25/2017,OW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/25/2017,BS,0.017,NA,NA,NA,NA,NA,NA,0.0072,NA,20,NA
0602EAT0163,Eaton Brook Reservoir,07/26/1995,OW,NA,NA,0.93,NA,NA,NA,8.03,0.005,176,22,5
0602EAT0163,Eaton Brook Reservoir,07/26/1995,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/26/2017,OW,0.064,21.3,2.9,NA,0.519,NA,7.47,0.0146,145.8,24,5
0602EAT0163,Eaton Brook Reservoir,07/26/2017,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/27/1992,OW,NA,NA,3.62,NA,NA,NA,8.15,0.008,168,20,8
0602EAT0163,Eaton Brook Reservoir,07/27/1992,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/27/1998,OW,NA,NA,8.24,NA,NA,NA,8.24,NA,158,22,2
0602EAT0163,Eaton Brook Reservoir,07/27/1998,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
0602EAT0163,Eaton Brook Reservoir,07/28/2013,OW,0,NA,NA,NA,0.341418,NA,7.86,0.0092,142.6,24.5,20
0602EAT0163,Eaton Brook Reservoir,07/28/2013,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/29/1991,OW,NA,NA,4.67,NA,NA,NA,8.5,0.007,173,23,3
0602EAT0163,Eaton Brook Reservoir,07/29/1991,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/29/1996,OW,NA,NA,0.93,NA,NA,NA,8.07,0.004,156,21,5
0602EAT0163,Eaton Brook Reservoir,07/29/1996,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/29/2012,OW,0.016,NA,2.1,NA,0.304,NA,7.85,0.0107,171.7,24,6
0602EAT0163,Eaton Brook Reservoir,07/29/2012,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/30/1989,OW,NA,NA,5.02,NA,NA,NA,8.31,0.007,172,23,2
0602EAT0163,Eaton Brook Reservoir,07/30/1989,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/30/1990,OW,NA,NA,1.97,NA,NA,NA,8.22,0.007,166,25,7
0602EAT0163,Eaton Brook Reservoir,07/30/1990,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/30/2018,OW,0.005,NA,2.1,NA,0.298,0.294,7.17,0.0038,138.9,26,0.5
0602EAT0163,Eaton Brook Reservoir,07/30/2018,BS,0.127,NA,NA,NA,NA,NA,NA,0.00885,NA,14,NA
0602EAT0163,Eaton Brook Reservoir,07/31/1988,OW,NA,NA,1.63,NA,NA,NA,8.22,0.006,166,24,5
0602EAT0163,Eaton Brook Reservoir,07/31/1988,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/01/2010,OW,0.03,NA,1.6,NA,0.266,NA,7.45,0.0101,159.8,23.8,24
0602EAT0163,Eaton Brook Reservoir,08/01/2010,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/01/2016,OW,0.041,NA,0.6,NA,0.239,NA,7.76,0.0122,105.9,27,12
0602EAT0163,Eaton Brook Reservoir,08/01/2016,BS,0.043,NA,NA,NA,NA,NA,NA,0.0109,NA,21,NA
0602EAT0163,Eaton Brook Reservoir,08/03/2015,OW,0,NA,1.2,NA,0.367,NA,7.91,0.0075,153,26,9
0602EAT0163,Eaton Brook Reservoir,08/03/2015,BS,0,NA,NA,NA,NA,NA,NA,0.0136,NA,22,NA
0602EAT0163,Eaton Brook Reservoir,08/04/1997,OW,NA,NA,4.25,NA,NA,NA,8.37,0.006,168,22,5
0602EAT0163,Eaton Brook Reservoir,08/04/1997,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/05/1991,OW,NA,NA,6.23,NA,NA,NA,8.31,0.012,171,22,10
0602EAT0163,Eaton Brook Reservoir,08/05/1991,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/06/1989,OW,NA,NA,4.59,NA,NA,NA,8.07,0.009,166,25,5
0602EAT0163,Eaton Brook Reservoir,08/06/1989,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/07/1988,OW,NA,NA,1.92,NA,NA,NA,8.31,0.008,169,25,5
0602EAT0163,Eaton Brook Reservoir,08/07/1988,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/07/2011,OW,0.036,21.2,1.8,NA,0.206,NA,7.42,0.01,135.7,NA,10
0602EAT0163,Eaton Brook Reservoir,08/07/2011,BS,0.04,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/08/1994,OW,NA,NA,3.63,NA,NA,NA,8.21,0.006,146,21.5,4
0602EAT0163,Eaton Brook Reservoir,08/08/1994,BS,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/08/2000,OW,NA,NA,2.36,NA,NA,NA,7.99,0.007,162,24,0.5
0602EAT0163,Eaton Brook Reservoir,08/08/2000,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/08/2017,OW,0.0025,NA,3.2,NA,0.213,NA,7.22,0.0236,136.1,24,10
0602EAT0163,Eaton Brook Reservoir,08/08/2017,BS,0.005,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
0602EAT0163,Eaton Brook Reservoir,08/09/1993,OW,NA,NA,4.93,NA,NA,NA,8.27,0.007,163,21,4
0602EAT0163,Eaton Brook Reservoir,08/09/1993,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/10/1992,OW,NA,NA,3.52,NA,NA,NA,8.27,0.011,166,20,7
0602EAT0163,Eaton Brook Reservoir,08/10/1992,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/10/1998,OW,NA,NA,1.97,NA,NA,NA,8.35,NA,156,23,2
0602EAT0163,Eaton Brook Reservoir,08/10/1998,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/11/1995,OW,NA,NA,3.98,NA,NA,NA,8.24,0.008,179,25,5
0602EAT0163,Eaton Brook Reservoir,08/11/1995,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/11/2012,OW,0.023,27.2,1.1,NA,0.192,NA,7.21,0.0104,143.2,25,11
0602EAT0163,Eaton Brook Reservoir,08/11/2012,BS,0.02,NA,NA,NA,NA,NA,NA,0.0094,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/11/2013,OW,0.026,NA,3.6,NA,0.341,NA,7.57,0.0086,148.2,23,16
0602EAT0163,Eaton Brook Reservoir,08/11/2013,BS,0.026,NA,NA,NA,NA,NA,NA,0.0042,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/13/1996,OW,NA,NA,1.4,NA,NA,NA,8.15,0.005,160,23,20
0602EAT0163,Eaton Brook Reservoir,08/13/1996,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/14/1988,OW,NA,NA,1.92,NA,NA,NA,NA,0.009,NA,26,5
0602EAT0163,Eaton Brook Reservoir,08/14/1988,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/15/2010,OW,0.016,25.8,0.9,NA,0.119,NA,7.68,0.008,164.6,23,10
0602EAT0163,Eaton Brook Reservoir,08/15/2010,BS,0.064,NA,NA,NA,NA,NA,NA,0.0093,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/15/2016,OW,NA,NA,1.8,NA,0.21,NA,7.74,0.0077,163,25,14
0602EAT0163,Eaton Brook Reservoir,08/15/2016,BS,NA,NA,NA,NA,NA,NA,NA,0.0048,NA,22,NA
0602EAT0163,Eaton Brook Reservoir,08/16/2018,OW,0.096,22.4,1.6,NA,0.25,0.26,7.77,0.00585,139.1,25,13
0602EAT0163,Eaton Brook Reservoir,08/16/2018,BS,0.187,NA,NA,NA,NA,NA,NA,0.0149,NA,11,NA
0602EAT0163,Eaton Brook Reservoir,08/17/2015,OW,0.034,NA,1.6,NA,0.83,NA,7.91,0.0081,166,24,5
0602EAT0163,Eaton Brook Reservoir,08/17/2015,BS,0.041,NA,NA,NA,NA,NA,NA,0.0128,NA,20,NA
0602EAT0163,Eaton Brook Reservoir,08/18/1997,OW,NA,NA,2.96,NA,NA,NA,8.1,0.006,169,21,3
0602EAT0163,Eaton Brook Reservoir,08/18/1997,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/19/1990,OW,NA,NA,5.58,NA,NA,NA,8.54,0.007,162,23,4
0602EAT0163,Eaton Brook Reservoir,08/19/1990,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/19/1991,OW,NA,NA,4.82,NA,NA,NA,8.32,0.008,168,21,5
0602EAT0163,Eaton Brook Reservoir,08/19/1991,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/20/1989,OW,NA,NA,3.74,NA,NA,NA,8.23,0.01,173,22,7
0602EAT0163,Eaton Brook Reservoir,08/20/1989,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,08/20/2011,OW,0.013,NA,0.8,NA,0.362,NA,7.42,0.0094,135.4,NA,16
